"imaginary world,4.453694416583082
space epic,4.453694416583082"
80's classic,3.3114992721979624
Alfred Hitchcock,4.218527315914489
Amanda Peet,3.3787375415282392
Ang Lee,4.07514450867052
Bill Murray,3.8064620355411956
British,3.879089615931721
Cole Hauser,3.300738007380074
Dieselpunk,3.6740812379110253
Disney,3.894164193867458
Disney studios,3.894164193867458
Ei muista,3.8156505816458424
Eliza Dushku,3.2735042735042734
Emilio Estevez,2.886426592797784
George Lucas,4.242254000680967
Gilliam,3.6940594059405942
Guy Ritchie,3.8976
Gwenth Paltrow,4.127479949345715
Gwyneth Paltrow,3.503380916604057
Harrison Ford,4.022892819979188
Irene Jacob,3.937984496124031
Jeff Bridges,3.7383773928896993
John Cleese,3.971342383107089
Johnny Depp***,3.8412698412698414
Jude Law,3.503380916604057
Julie Andrews,3.894164193867458
Katso Sanna!,4.153603268945022
Kevin Costner,2.8594249201277955
Krzysztof Kieslowski,3.937984496124031
Leonardo DiCaprio,3.4008350730688934
Martin Scorsese,4.183870967741935
Marx Brothers,4.21043771043771
Matthew Perry,3.3787375415282392
Meg Ryan,3.380668257756563
Mel Gibson,3.6740812379110253
Micheal Keaton,3.5678929765886287
Monty Python,4.018358531317495
Morgan Freeman,4.554557700942973
National Film Registry,3.4673366834170856
Nudity (Full Frontal - Notable),4.104875804967802
Nudity (Full Frontal),3.9207875457875456
Nudity (Rear),3.0843881856540083
Nudity (Topless),3.0934891485809684
Overrated,3.2735042735042734
Phenomenal!,4.554557700942973
Pixar,4.146846413095811
Post apocalyptic,3.6740812379110253
Quentin Tarantino,4.2017487737257415
Quirky,4.254675686430561
Ralph Fiennes,3.7588652482269502
Romance,3.380668257756563
Ron Howard,4.073541167066347
Rosanna Arquette,3.3787375415282392
Sandra Bullock,3.5654545454545454
Science Fiction,4.453694416583082
Stanley Kubrick,4.104875804967802
Star Wars,4.022892819979188
Steve Buscemi,3.7383773928896993
Syfy,4.453694416583082
Tim Robbins,4.554557700942973
Tom Hanks,3.9290136194799836
Trilogy of the Imagination,3.8855954238169526
Vin Diesel,3.300738007380074
action,4.157209033005211
adam sandler,3.526392961876833
addiction,4.115131578947368
afi,4.288046250637646
aging,4.07514450867052
akira kurosawa,4.404651162790698
aliens,4.022892819979188
alternate reality,3.953028972783143
animation,4.307314897413024
anime,3.9973890339425586
anti-hero,3.300738007380074
assassin,4.106175514626218
atmospheric,4.404651162790698
awesome,4.453694416583082
awesome soundtrack,4.453694416583082
awkward,3.6357308584686776
biblical,4.106420404573439
billy bob thorton,4.208156329651657
black comedy,4.404651162790698
bookshop,3.380668257756563
boring,3.9945355191256833
brother sister relationship,4.163934426229508
can't stand rogue!,3.8206485771012573
character development,3.953028972783143
cheerleading,3.2735042735042734
cheezy to the max!,3.7103734439834026
childish plot,3.1643026004728134
claire daines,3.4008350730688934
classic,4.472229897761813
classic sci-fi,4.453694416583082
clever,3.4008350730688934
colin firth,4.127479949345715
comedy,3.953028972783143
comedy of manners,3.894164193867458
coming of age,4.430266110932991
controversial,3.7128412537917086
